id,title,subtitle,authors,language,genre,published_date,page_count
37,Decisive Measures,,John Nichol,en,Childrens | Animals | Childrens | Picture Books | Fiction,2001,370.0
38,Blue Chipper,A Morgan Hunt Mystery,Geoffrey Norman,en,,1994,233.0
39,Hide and Seek,,Fern Michaels,en,Mystery | Fiction | Romance | Suspense | Womens Fiction | Chick Lit | Thriller | Mystery | Crime | Thriller | Mystery Thriller | Contemporary | Adult Fiction,2008,316.0
40,Springwater Wedding,,Linda Lael Miller,en,Romance | Romance | Historical Romance | Romance | Contemporary Romance | Romance | Western Romance | Westerns | Fiction | Contemporary | Historical | Historical | Historical Fiction,2002,384.0
41,The Crew,,Margaret Mayhew,en,Historical | Historical Fiction | War | World War II,1997,411.0
42,Tales of Mithgar,,Dennis L. McKiernan,en,Fantasy | Science Fiction Fantasy | Fantasy | High Fantasy | Short Stories | Anthologies,1995,256.0
43,Annie Murray Omnibus,,Annie Murray,en,,2003,980.0
44,Target Antarctica,,Hammond Innes,en,Adventure | Fiction | Thriller,1994,416.0
45,Let the Drum Speak,A Novel of Ancient America,Linda Lay Shuler,en,Historical | Historical Fiction | Fiction | Historical | Historical Fiction | Prehistoric | Romance | Adult | History | Prehistory | Drama | Native Americans | The United States Of America,1997,495.0
46,Back After the Break,,Anita Notaro,en,Womens Fiction | Chick Lit | Roman,2003,445.0
47,Pip,,Freya North,en,Womens Fiction | Chick Lit | Fiction | Romance | Contemporary | Romance | Contemporary Romance | Drama,2004,384.0
48,Why Worry?,How to Live Without Fear & Worry,K. Sri Dhammananda,en,Self Help | Religion | Buddhism | Nonfiction | Religion | Philosophy | Spirituality | Reference,1996,254.0
49,How to Live Without Fear & Worry,,K. Sri Dhammananda,en,Self Help | Religion | Buddhism | Nonfiction | Religion | Philosophy | Spirituality | Reference,1989,276.0
50,NHKおしゃれ工房ナチュラルもカラフルもかぎ針編みで,,NHK出版,ja,,2009,79.0
51,ナチュラルもカラフルもかぎ針編みで,,,ja,,2009,79.0
52,Gravitational Mystery Spots of the United States,Explained Using the Theory of Multidimensional Reality,Douglas B. Vogt,en,Science,1996,82.0
53,The Last Witness,,John Matthews,en,Mystery | Fiction | Business | Amazon | Thriller | Thriller | Mystery Thriller,2001,471.0
54,Girl Meets Ape,,Chris Manby,en,,2004,342.0
55,Garnethill,,Denise Mina,en,Mystery | Mystery | Crime | Fiction | Cultural | Scotland | Thriller | Mystery Thriller | Thriller | Adult | Suspense | Contemporary | European Literature | British Literature,1999,444.0
56,Into the Darkness,,Barbara Michaels,en,Mystery | Fiction | Gothic | Romance | Suspense | Romance | Romantic Suspense | Gothic | Gothic Romance | Fantasy | Supernatural | Thriller | Mystery Thriller | Thriller,1991,323.0
57,简·萨默斯的日记,,Doris May Lessing,en,,2005,501.0
58,곰브리치 세계사. 1,,에른스트 H. 곰브리치,ko,,2001,298.0
59,Pride and Prejudice,,Jane Austen,en,Classics | Fiction | Romance | Historical | Historical Fiction | Literature | Historical | Novels | Audiobook | Romance | Historical Romance | Adult,2006,432.0
60,Emma,,Jane Austen,en,Classics | Fiction | Romance | Historical | Historical Fiction | Literature | Historical | Audiobook | Literature | 19th Century | Classics | Classic Literature | Novels,2006,512.0
61,Sense and Sensibility,,Jane Austen,en,Classics | Fiction | Romance | Historical | Historical Fiction | Literature | Historical | Audiobook | Literature | 19th Century | Classics | Classic Literature | European Literature | British Literature,2007,416.0
62,With No One As Witness,,Elizabeth George,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | European Literature | British Literature | Audiobook | Mystery | Detective | Suspense | Mystery | Murder Mystery,2012,928.0
63,The House of Scorta,,Laurent Gaudé | Stephen Sartarelli | Sophie Hawkes,en,Fiction | Cultural | France | Historical | Historical Fiction | Roman | Cultural | Italy | Novels | Contemporary | Academic | Read For School | European Literature | French Literature | Academic | School,2007,289.0
64,Castaway,,Lucy Irvine,en,Nonfiction | Travel | Biography | Autobiography | Memoir | Adventure | Cultural | Australia | Adventure | Survival | Biography | Autobiography | Biography Memoir,1999,412.0
65,Karnataka,,David Stott,en,,2012,111.0
66,Bangalore & Karnataka,,David Stott (Travel writer),en,,2012,111.0
67,Red Dust,A Path Through China,Jian Ma,en,Cultural | China | Travel | Nonfiction | Cultural | Asia | History | Autobiography | Memoir | Biography | Biography | Autobiography | Asian Literature | Chinese Literature | Adventure,2006,324.0
68,The Old Man and the Sea,,Ernest Hemingway,en,Literary Fiction | Classics | Classic Literature | Classics | Novella | Young Adult | High School | Classics | Modern Classics | Adult | Fiction | Adult Fiction | Historical | Historical Fiction,2004,109.0
69,Der Steppenwolf,Erzaḧlung,Hermann Hesse,de,Fiction | Classics | Philosophy | European Literature | German Literature | Literature | Novels | Cultural | Germany | Literature | 20th Century | Young Adult | Coming Of Age | Spirituality,1995,277.0
70,Southeast Asia on a Shoestring,,China Williams,en,Travel | Nonfiction | Reference | Cultural | Asia | Adventure | Reference | Guidebook | The United States Of America,2008,988.0
71,South-East Asia on a Shoestring,,Chris Rowthorn,en,Travel | Nonfiction | Reference | Cultural | Asia | Adventure | Reference | Guidebook | The United States Of America,2001,988.0
72,Lonely Planet Discover India,,,en,Travel | Reference | Cultural | India,2011,461.0
73,Discover India,,Abigail Hole,en,Travel | Reference | Cultural | India,2011,461.0
74,More Twisted,,Jeffery Deaver,en,Short Stories | Fiction | Thriller | Mystery | Mystery | Crime | Suspense | Anthologies | Collections | Anthologies | Horror | Thriller | Mystery Thriller,2007,433.0
75,"Fish, Blood and Bone",,Leslie Forbes,en,Fiction | Mystery | Cultural | India | Literature | Thriller | Mystery Thriller | Literary Fiction | Mystery | Crime,2000,466.0
76,Writ of Execution,,Perri O'Shaughnessy,en,Mystery | Fiction | Thriller | Legal Thriller | Thriller | Mystery Thriller | Romance | Suspense | Thriller | Mystery | Crime,2002,427.0
77,Wives and Lovers,,Jane Elizabeth Varley,en,Womens Fiction | Chick Lit | Fiction | Family | Romance,2004,410.0
78,Dood onder deskundigen,,Phyllis Dorothy James | E.C.C. Kramer-Plokker,nl,Mystery | Fiction | Mystery | Crime | European Literature | British Literature | Mystery | Detective | Thriller | Mystery Thriller | Thriller | Mystery | Murder Mystery | Audiobook | Novels,1992,264.0
79,In het oog van de storm,,Bethany Campbell | Ellen Melchers,nl,,2006,316.0
80,Hals over kop,,Jill Mansell | Ineke van Bronswijk,nl,Womens Fiction | Chick Lit | Romance | Fiction | Romance | Contemporary Romance | Contemporary | Adult | Humor | Womens Fiction | European Literature | British Literature | Adult Fiction,2012,351.0
81,Giph / druk 9,,Ronald Giphart,nl,Fiction | European Literature | Dutch Literature | Literature | Novels | Academic | School | Humor | Literature | 20th Century | Contemporary,1998,224.0
82,Help! de dokter verzuipt...,,Antonius Johannes Kortooms | Toon Kortooms,nl,Roman,1980,214.0
83,De Glans van Goud,,Ralph Hammond Innes | F. C. Pereboom,nl,,1978,272.0
84,Hart voor het leven,,Belva Plain,nl,,1987,286.0
85,Het bloed van rozen,,Tanith Lee | Annemarie van Ewijck,nl,Fantasy | Horror | Fiction | Paranormal | Vampires | Gothic | Science Fiction Fantasy | European Literature | British Literature | Fantasy | Dark Fantasy,1999,621.0
86,Spaar de spotvogels,,Harper Lee | Hans Edinga (pseud. van Hans Heidstra.),nl,Classics | Fiction | Historical | Historical Fiction | Academic | School | Literature | Young Adult | Historical | Academic | Read For School | Novels | Young Adult | High School,1999,352.0
87,Spierbundel,columns,Dolf Jansen,nl,,2004,171.0
88,Tropische hitte,,John Lutz | Pieter Janssens,nl,,1987,253.0
89,De gedoemde oase,,Ralph Hammond Innes,en,,1972,379.0
90,Schipbreuk in de Poolzee,,Ralph Hammond Innes | Age Scheffer,nl,,1976,253.0
91,Fort in de bergen,,Desmond Bagley | L. Knuvelder,nl,,1976,218.0
92,The Lovely Bones,A Novel,Alice Sebold,en,Fiction | Mystery | Young Adult | Contemporary | Fantasy | Mystery | Crime | Thriller | Adult Fiction | Adult | Drama,2003,328.0
93,De Aangeslagen advocaat,,Ross Macdonald,nl,,1964,221.0
94,Als stof op de wind,,Kathleen E. Woodiwiss | J. F. Niessen-Hossele,nl,,1991,575.0
95,Sacrament,,Clive Barker | Tom van Son,nl,Horror | Fantasy | Fiction | LGBT | Fantasy | Dark Fantasy | LGBT | Gay | Mystery | Fantasy | Supernatural | Science Fiction Fantasy | Anthologies | Collections,1999,480.0
96,Koester mijn droom,,Barbara Taylor Bradford | Ytje Horsten,nl,,1999,485.0
97,Indonesië,reisverhalen,,nl,,2002,167.0
98,Phileine zegt sorry,roman,Ronald Giphart,nl,Fiction | European Literature | Dutch Literature | Literature | Roman | Contemporary | Novels | Academic | Read For School | Academic | School | Humor | Romance,2003,213.0
99,IJs,,Nora Roberts | Kitty Bouwens,nl,,1999,317.0
100,Along Came Trouble,,Sherryl Woods,en,Romance | Romance | Contemporary Romance | Contemporary | Fiction | Mystery | Womens Fiction | Chick Lit | Romance | Romantic Suspense | Family | Suspense | Adult,2002,400.0
101,Hart's war,,John Katzenbach | Jan Smit,nl,,2005,469.0
102,Morses grootste mysterie en andere verhalen,,Colin Dexter | Keimpe Keuning,nl,,1998,95.0
103,Veilige haven,,Danielle Steel | Pauline Moody,nl,Romance | Fiction | Womens Fiction | Chick Lit | Romance | Contemporary Romance | Contemporary | Drama | Love | Novels | Family | Adult,2006,351.0
104,The Blackwater Lightship,,Colm Tóibín,en,Fiction | Cultural | Ireland | European Literature | Irish Literature | LGBT | Literary Fiction | Contemporary | LGBT | Gay | Novels | Literature | Book Club,1999,273.0
105,Roemloze levens / druk 4,,Pierre Michon,nl,Fiction | Cultural | France | European Literature | French Literature | Literature | Literature | 20th Century | Classics | Short Stories | Roman | Novels,2001,234.0
106,"De biologische klok bij mens, dier en plant",,Pieter Van Dooren,nl,,1999,93.0
107,Vermoorde onschuld,,Rosellen Brown | Mariëtte van Gelder,nl,,1992,288.0
108,Banshee,de doodsgeest,Margaret Ellis Sturm Millar | Marjan Hilverda,nl,,1984,165.0
109,Het Bewogen Leven Van De Burgemester Van Casterbridge,,Thomas Hardy,nl,Classics | Fiction | Literature | Literature | 19th Century | Historical | Victorian | Novels | European Literature | British Literature | Historical | Historical Fiction | Classics | Classic Literature | Literary Fiction,1979,285.0
110,Liefde vermist,,Morgan Hayes | Paul van den Hout,nl,,2003,319.0
111,Maigret in Holland,,Georges Joseph Christian Simenon | Karel Hendrik Romijn,nl,,1991,159.0
112,Tijd van leven,roman,Anne Tyler | Mea M. Flothuis,nl,Fiction | Contemporary | Literary Fiction | Novels | Adult | Adult Fiction | Womens | Family | Literature | Womens Fiction,1999,431.0
113,Slotakkoord / druk Heruitgave,,Michael Connelly,nl,Mystery | Fiction | Mystery | Crime | Thriller | Mystery | Detective | Thriller | Mystery Thriller | Audiobook | Suspense | Mystery | Murder Mystery | Emergency Services | Police,2008,368.0
114,Schimmenrijk,,Rosita Steenbeek,nl,,2002,247.0
115,Het parfum,de geschiedenis van een moordenaar,Patrick Süskind | Ronald J. H. Jonkers,nl,Fiction | Classics | Historical | Historical Fiction | Horror | Mystery | Thriller | Mystery | Crime | Historical | European Literature | German Literature | Novels,1997,255.0
116,Everien,Die Schatten von Jai Pendu,Tricia Sullivan,de,Fantasy | Science Fiction Fantasy | Science Fiction,2001,623.0
117,Slapen kan ik als ik dood ben,de adembenemende wereld van Rainer Werner Fassbinder,Harry Baer | Pieter Cramer,nl,Nonfiction,1985,222.0
118,Japie en het zwarte spook,,Paul Johannes Biegel,nl,,2002,151.0
119,Geen zicht op de toekomst,,Johan G. Veenhof,nl,,1997,401.0
120,Hinderlaag,,Alistair Stuart MacLean | R. C. A. Beek,nl,Thriller | Fiction | War | Adventure,1996,335.0
121,De piranha's,,Harold Robbins (pseud. van Harold Rubin.) | Elly Schurink,nl,Fiction | Thriller,2002,232.0
122,Athabasca,,Alistair Stuart MacLean | Frank Visser,nl,,1992,232.0
123,Geheime liefde,,Laurie Langenbach,nl,,1977,174.0
124,E,A Novel,Matt Beaumont,en,Fiction | Humor | Humor | Comedy | Contemporary | European Literature | British Literature | Novels | Business | Modern | Womens Fiction | Chick Lit | Literary Fiction,2000,342.0
125,Het land van de echo's / druk 3,,Daniel Hecht,nl,,2005,431.0
126,Englisch,"Engl.-dt., Dt.-engl",Helmut Willmann | Gisela Türck | Heinz Messinger,de,,1997,1386.0
127,"Wat voorbij is, is een droom",roman,Aksel Sandemose | Gerard Cruys (pseud. van Gerard Kruisman.) | Per Egil Törnqvist,nl,,1979,389.0
128,Zum Thema Kassettanfernsehen,,,nl,Romance | Fiction | Womens Fiction | Chick Lit | Contemporary | Romance | Contemporary Romance | Novels | Adult Fiction | Womens Fiction | Modern | Drama,1971,
129,Over de rand,,Joe Simpson | P. F. Heijman,nl,,1991,204.0
130,天使の牙: Battling angel,,,ja,,1998,
131,天使の牙,,大沢在昌,ja,,1998,438.0
132,Onvergetelijke kussen,,Anne Mather | Willemien Werkman,nl,,2011,158.0
133,Onbegrepen,,Karin Slaughter,nl,Thriller | Fiction | Mystery | Mystery | Crime | Audiobook | Short Stories | Humor | Suspense | Novella | Adult,2008,96.0
134,Verlies,,Nicci French (pseud. van Nicci Gerrard en Sean French.) | Molly van Gelder,nl,Thriller | Fiction | Mystery | Roman | Mystery | Crime,2002,96.0
135,Opzwepende dans,,Elizabeth Oldfield | Vertaalwinkel,nl,,1997,159.0
136,Shibumi,,Trevanian (pseud. van Rodney Whitaker) | Hendrik Jan Oolbekkink,nl,,1984,304.0
137,Geborgen oogst,het verhaal van een operhartige liefde,Margit Charlotta Söderholm,nl,,1980,363.0
138,Wilde dromen,,Joyce Henderson | Marjan Hilverda,nl,,2006,318.0
139,Een geheimzinnige erfenis,,Linda Vail | Inge Vlaspolder,nl,,1989,280.0
140,Verrassend charmant,,Judy Duarte | Esther Speelman,nl,,2010,174.0
141,De draak van het eiland,,Mary Gillgannon | José van Oss,nl,,1997,317.0
142,Gestolen intermezzo,,Tara Taylor Quinn (pseud. van Tara Lee Reames.) | Marianne van der Heijden,nl,,2003,318.0
143,Eucalyptus,,Murray Bail | Mieke Lindenburg,nl,Fiction | Cultural | Australia | Romance | Contemporary | Literature | Literary Fiction | Historical | Historical Fiction | Novels | Book Club | Fantasy,2001,233.0
144,Een gevaarlijke keuze,,Amanda Carpenter | Anke Wijbenga,nl,,1997,158.0
145,Vriend of minnaar,,Elizabeth Bevarly | Manon Boerlage,nl,,1995,159.0
146,I Thee Wed,,Amanda Quick,en,Romance | Romance | Historical Romance | Historical | Mystery | Historical | Historical Fiction | Fiction | Historical | Regency | Fantasy | Paranormal | Suspense | Historical Romance | Regency Romance,2000,362.0
147,Break No Bones,,Kathy Reichs,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Audiobook | Mystery | Detective | Anthropology,2007,468.0
148,Shelter,,Harlan Coben,en,Mystery | Young Adult | Thriller | Fiction | Mystery | Crime | Thriller | Mystery Thriller | Suspense | Young Adult | Teen | Audiobook | Adventure,2011,320.0
149,Four Blind Mice,,James Patterson,en,Mystery | Fiction | Thriller | Mystery | Crime | Thriller | Mystery Thriller | Suspense | Audiobook | Adult | Adult Fiction | Mystery | Detective,2003,416.0
150,The Food of Love,,Anthony Capella,en,Fiction | Romance | Cultural | Italy | Womens Fiction | Chick Lit | Food and Drink | Food | Contemporary | Food and Drink | Foodie | Food and Drink | Cooking | Romance | Contemporary Romance | Humor,2005,309.0
151,A Song for Issy Bradley,,Carys Bray,en,Fiction | Contemporary | Religion | Family | Literary Fiction | Novels | Adult Fiction | Drama | Lds | Mormonism | Book Club,2015,400.0
152,Every Woman Knows a Secret,,Rosie Thomas,en,Romance | Fiction | Womens Fiction | Chick Lit | Modern,1997,490.0
153,Circling the Sun,,Paula McLain,en,Historical | Historical Fiction | Fiction | Cultural | Africa | Historical | Audiobook | Book Club | Romance | Adult Fiction | Adult | Eastern Africa | Kenya,2016,384.0
154,The Forgotten Monarchy of Scotland,The True Story of the Royal House of Stewart and the Hidden Lineage of the Kings and Queens of Scots,Michael James Alexander Stewart,en,History | Cultural | Scotland | Nonfiction,1998,502.0
155,Tampa Burn,,Randy Wayne White,en,Mystery | Fiction | Thriller | Thriller | Mystery Thriller | Mystery | Crime | Action | Adventure | Audiobook | Suspense,2004,372.0
156,Soonish,Emerging Technologies That Will Improve And/or Ruin Everything,DR. KELLY. WEINERSMITH WEINERSMITH (ZACH.) | Zach Weinersmith,en,Science | Nonfiction | Science | Technology | Humor | Sequential Art | Graphic Novels | Futurism | Sequential Art | Comics | Science | Popular Science | Science | Physics | Unfinished,2017,368.0
157,Blown To Bits: How The New Economics Of Information Transforms Strategy,,Evans,en,Business | Economics | Business | Management | Nonfiction | Science | Technology,1999,261.0
158,Deadly Embrace,,Jackie Collins,en,Romance | Fiction | Womens Fiction | Chick Lit | Novels | Romance | Contemporary Romance | Adult Fiction | Thriller,2002,533.0
159,The Race,,Clive Cussler | Justin Scott,en,Fiction | Adventure | Thriller | Historical | Historical Fiction | Action | Mystery | Historical | Audiobook | Mystery | Crime | Suspense,2011,404.0
160,From Dusk 'til Dawn,An Insider's View of the Growth of the Animal Liberation Movement : the Story Our Government Does Not Want Told,Keith Mann,en,Animals | Nonfiction | History | Politics | Biography,2009,647.0
161,Sherman Exposed,Slightly Censored Climbing Stories,John Sherman,en,Mountaineering | Climbing | Nonfiction,1999,238.0
162,Above Suspicion,,Lynda La Plante,en,Mystery | Mystery | Crime | Fiction | Thriller | Thriller | Mystery Thriller | Suspense | European Literature | British Literature | Mystery | Detective | Emergency Services | Police | Adult,2004,392.0
163,Betrayal,,Paul Carson,en,Thriller | Mystery | Cultural | Ireland | Fiction,2005,374.0
164,Hang Time,Days and Dreams with Michael Jordan,Bob Greene,en,Sports | Sports | Sports | Basketball | Biography | Nonfiction | Autobiography | Memoir,1992,406.0
165,Tokyo,,Mo Hayder,en,Thriller | Horror | Fiction | Mystery | Historical | Historical Fiction | Mystery | Crime | Cultural | Japan | Cultural | China | Thriller | Mystery Thriller | Historical,2004,362.0
166,Tears in the Darkness,,Shy Keenan,en,Nonfiction | Autobiography | Memoir | Sociology | Abuse | Biography | Crime | True Crime | Biography | Autobiography | Psychology | True Story | Adult | Inspirational,2008,
167,Broken,The Most Shocking True Story of Abuse Ever Told,Shy Keenan,en,Nonfiction | Autobiography | Memoir | Sociology | Abuse | Biography | Crime | True Crime | Biography | Autobiography | Psychology | True Story | Adult | Inspirational,2008,305.0
168,Best of Friends,,Cathy Kelly,en,Womens Fiction | Chick Lit | Fiction | Contemporary | Romance | Womens Fiction | Cultural | Ireland | Novels | Modern | Adult | Roman,2003,521.0
169,Road to Paradise,,Paullina Simons,en,Fiction | Womens Fiction | Chick Lit | Contemporary | Drama | Romance | Adult Fiction | Novels | Book Club | Adult | Adventure,2007,544.0
170,My Steve,,Terri Irwin,en,Fiction | Womens Fiction | Chick Lit | Contemporary | Drama | Romance | Adult Fiction | Novels | Book Club | Adult | Adventure,2007,271.0
171,Black Widow,,Randy Wayne White,en,Mystery | Thriller | Fiction | Audiobook | Thriller | Mystery Thriller | Mystery | Crime | Action | Adventure | Mystery | Detective,2008,337.0
172,Scarecrow,,Matthew Reilly,en,Thriller | Fiction | Action | Adventure | War | Military Fiction | Suspense | Thriller | Mystery Thriller | Mystery | Audiobook | Novels,2003,463.0
173,Sterren in het zand,,Patricia Shaw | Gea Scheperkeuter,nl,Historical | Historical Fiction | Cultural | Australia | Fiction | Historical | Unfinished,2001,480.0
174,Dannii,,Dannii Minogue,en,Biography | Biography | Autobiography | Nonfiction,2011,288.0
175,Peter Ustinov,The Gift of Laughter,John Miller,en,Biography | Nonfiction,2002,267.0
176,The New Kingdom,,Wilbur Smith | Mark Chadbourn,en,Historical | Historical Fiction | Northern Africa | Egypt | Fiction | Historical | Adventure | Cultural | Africa | Novels | Historical Fiction | Historical Fantasy | Action | Thriller,2021,432.0
177,The Island Wife,,Jessica Stirling,en,,1997,410.0
178,Seemannschaft,e. Handbuch für d. Yachtsport,Ramon Gliewe,de,,1977,631.0
179,Gods and Generals,,Jeff Shaara,en,Historical | Historical Fiction | Fiction | Military History | Civil War | War | Historical | War | Military Fiction | North American Hi... | American History | American History | American Civil War | Military | Military History | Classics,1997,498.0
180,Capital Crimes,,Lawrence Sanders,en,Fiction | Mystery | Thriller | Mystery | Crime | Suspense | Politics,1990,320.0
181,Your Chinese Horoscope 2008,What the Year of the Rat Holds for You,Neil Somerville,en,,2007,368.0
182,Love and Marriage,,Patricia Scanlan,en,Womens Fiction | Chick Lit | Fiction | Romance,2012,650.0
183,Nightfall,,Isaac Asimov | Robert Silverberg,en,Science Fiction | Fiction | Science Fiction Fantasy | Fantasy | Classics | Short Stories | Speculative Fiction | Novels | Apocalyptic | Post Apocalyptic | Science Fiction | Dystopia,1992,352.0
184,The Game - out of print,Penetrating the Secret Society of Pick-up Artists,Neil Strauss,en,Nonfiction | Psychology | Self Help | Relationships | Biography | Autobiography | Memoir | Self Help | Personal Development | Sociology | Love | Romance,2005,464.0
185,The Iron Fence,,Neluka Silva,en,,2011,221.0
186,Saigon Express,,John Templeton Smith,en,,2000,386.0
187,Everywhere that Mary Went,,Lisa Scottoline,en,Mystery | Fiction | Thriller | Suspense | Thriller | Mystery Thriller | Thriller | Legal Thriller | Mystery | Crime | Audiobook | Contemporary | Adult,2000,368.0
188,The Negotiator,,Frederick Forsyth,en,Fiction | Thriller | Mystery | Spy Thriller | Espionage | Suspense | Adventure | Mystery | Crime | Novels | Politics | Action,1989,509.0
189,Beast,,Peter Benchley,en,Horror | Fiction | Thriller | Science Fiction | Folklore | Monsters | Animals | Adventure | Action | Novels | Suspense,1992,319.0
190,Song of the Wind,,Madge Swindells,en,Romance,1993,505.0
191,Laws of the Blood,,Susan Sizemore,en,Paranormal | Vampires | Fantasy | Fantasy | Urban Fantasy | Fantasy | Paranormal | Romance | Romance | Paranormal Romance | Fiction | Adult | Novels,1999,
192,Companions,,Susan Sizemore,en,Paranormal | Vampires | Fantasy | Fantasy | Urban Fantasy | Fantasy | Paranormal | Romance | Romance | Paranormal Romance | Fiction | Adult | Novels,2001,265.0
193,Saigon Express,,John Templeton Smith,en,,2000,386.0
194,Play with Fire,,Dana Stabenow,en,Mystery | Fiction | Mystery | Crime | Thriller | Mystery Thriller | Suspense | Thriller | Mystery | Detective | Audiobook | Literature | American | Womens,1996,314.0
195,Liar's Market,,Taylor Smith,en,Fiction | Mystery | Thriller | Mystery Thriller,2004,378.0
196,Fallen Angels,,Eddy Shah,en,,1995,526.0
